dev_id,time,no2,pm25,o3,humdity,so2,status,vin,no2_o3,temperature,co
0004a30b0024358c,2019-01-15T07:11:11.338471578Z,22,1.9,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:12:11.843887613Z,23,2.2,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:13:11.368955944Z,24,2.2,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:14:11.8904793Z,23,2.1,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:15:11.397766456Z,22,2.1,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:16:11.909392292Z,23,2.2,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:17:11.428688136Z,23,1.9,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:18:11.942664248Z,22,1.8,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:19:11.467652277Z,24,1.7,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:20:11.971427259Z,21,1.7,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:21:11.503091703Z,22,1.9,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:22:12.003127464Z,21,2.1,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:23:11.525855919Z,23,2.2,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:24:12.045138503Z,23,2.2,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:25:11.552831072Z,23,2.3,0,21,32,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:26:12.057454282Z,23,2.2,0,21,27,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T07:27:11.578654881Z,24,2.1,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:28:12.086815502Z,22,2.3,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:29:11.612085041Z,23,2.1,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:30:12.117182264Z,23,1.9,0,21,33,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:31:11.646182123Z,24,2,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:32:12.150974836Z,22,2.2,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:33:11.688666176Z,23,2.2,0,21,31,0,12,13,21.6,0
